start,end,winner,tooltip
1993-08-14,1994-05-08,ManchesterUnited,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Manchester United</td><td>+42</td><td>92</td></tr> <tr><td>2</td><td>Blackburn Rovers</td><td>+27</td><td>84</td></tr> <tr><td>3</td><td>Newcastle United</td><td>+41</td><td>77</td></tr> <tr><td>4</td><td>Arsenal</td><td>+25</td><td>71</td></tr> <tr><td>5</td><td>Leeds United</td><td>+26</td><td>70</td></tr> </table>
1994-08-20,1995-05-14,Blackburn,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Blackburn Rovers</td><td>+41</td><td>89</td></tr> <tr><td>2</td><td>Manchester United</td><td>+49</td><td>88</td></tr> <tr><td>3</td><td>Nottingham Forest</td><td>+29</td><td>77</td></tr> <tr><td>4</td><td>Liverpool</td><td>+28</td><td>74</td></tr> <tr><td>5</td><td>Leeds United</td><td>+21</td><td>73</td></tr> </table>
1995-08-19,1996-05-04,ManchesterUnited,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Manchester United</td><td>+38</td><td>82</td></tr> <tr><td>2</td><td>Newcastle United</td><td>+29</td><td>78</td></tr> <tr><td>3</td><td>Liverpool</td><td>+36</td><td>71</td></tr> <tr><td>4</td><td>Aston Villa</td><td>+17</td><td>63</td></tr> <tr><td>5</td><td>Arsenal</td><td>+17</td><td>63</td></tr> </table>
1996-08-17,1997-05-11,ManchesterUnited,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Manchester United</td><td>+32</td><td>75</td></tr> <tr><td>2</td><td>Newcastle United</td><td>+33</td><td>68</td></tr> <tr><td>3</td><td>Arsenal</td><td>+30</td><td>68</td></tr> <tr><td>4</td><td>Liverpool</td><td>+25</td><td>68</td></tr> <tr><td>5</td><td>Aston Villa</td><td>+13</td><td>61</td></tr> </table>
1997-08-09,1998-05-10,Arsenal,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Arsenal</td><td>+35</td><td>78</td></tr> <tr><td>2</td><td>Manchester United</td><td>+47</td><td>77</td></tr> <tr><td>3</td><td>Liverpool</td><td>+26</td><td>65</td></tr> <tr><td>4</td><td>Chelsea</td><td>+28</td><td>63</td></tr> <tr><td>5</td><td>Leeds United</td><td>+11</td><td>59</td></tr> </table>
1998-08-15,1999-05-16,ManchesterUnited,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Manchester United</td><td>+43</td><td>79</td></tr> <tr><td>2</td><td>Arsenal</td><td>+42</td><td>78</td></tr> <tr><td>3</td><td>Chelsea</td><td>+27</td><td>75</td></tr> <tr><td>4</td><td>Leeds United</td><td>+28</td><td>67</td></tr> <tr><td>5</td><td>West Ham United</td><td>-7</td><td>57</td></tr> </table>
1999-08-07,2000-05-13,ManchesterUnited,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Manchester United</td><td>+52</td><td>91</td></tr> <tr><td>2</td><td>Arsenal</td><td>+30</td><td>73</td></tr> <tr><td>3</td><td>Leeds United</td><td>+15</td><td>69</td></tr> <tr><td>4</td><td>Liverpool</td><td>+21</td><td>67</td></tr> <tr><td>5</td><td>Chelsea</td><td>+19</td><td>65</td></tr> </table>
2000-08-18,2001-05-18,ManchesterUnited,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Manchester United</td><td>+48</td><td>80</td></tr> <tr><td>2</td><td>Arsenal</td><td>+25</td><td>70</td></tr> <tr><td>3</td><td>Liverpool</td><td>+32</td><td>69</td></tr> <tr><td>4</td><td>Leeds United</td><td>+21</td><td>68</td></tr> <tr><td>5</td><td>Ipswich Town</td><td>+15</td><td>66</td></tr> </table>
2001-08-17,2002-05-10,Arsenal,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Arsenal</td><td>+43</td><td>87</td></tr> <tr><td>2</td><td>Liverpool</td><td>+37</td><td>80</td></tr> <tr><td>3</td><td>Manchester United</td><td>+42</td><td>77</td></tr> <tr><td>4</td><td>Newcastle United</td><td>+22</td><td>71</td></tr> <tr><td>5</td><td>Leeds United</td><td>+16</td><td>66</td></tr> </table>
2002-08-17,2003-05-11,ManchesterUnited,<table> <tr><td></td><td>Team</td><td>GD</td><td>Pts</td></tr> <tr><td>1</td><td>Manchester United</td><td>+40</td><td>83</td></tr> <tr><td>2</td><td>Arsenal</td><td>+43</td><td>78</td></tr> <tr><td>3</td><td>Newcastle United</td><td>+15</td><td>69</td></tr> <tr><td>4</td><td>Chelsea</td><td>+30</td><td>67</td></tr> <tr><td>5</td><td>Liverpool</td><td>+20</td><td>64</td></tr> </table>
