date,end,title,fill,description
2015-02-01 23:31:00.000,2015-02-01 23:31:00.000,Kick-off,green,Football is really happening! Steven Hauschka kicks off to start up Super Bowl XLIX
2015-02-01 23:53:30.000,2015-02-01 23:53:30.000,Interception!,#00295E,Brady is throwing as hes stepping backwards - never a good idea - and hes picked off at the goal line! Jeremy Lane makes the play and theres the first turnover of the game!
2015-02-01 23:57:00.000,2015-02-02 00:00:00.000,End of the 1st quarter,green,First quarter is over already. The Patriots dominated time of possession - 11:07 to 3:37 but thanks to that pick theyve got nothing to show for it
2015-02-02 00:12:00.000,2015-02-02 00:12:00.000,Touchdown!,#D3D3D3,Brady finds LaFell who makes a little move towards the post and hes in the endzone! New England strike first!
2015-02-02 00:35:00.000,2015-02-02 00:35:00.000,Touchdown!,#00295E,Marshawn Lynch is a pinball - bouncing off Darrelle Revis before finding the endzone! Thats a 70 yards drive on eight plays in 4:51
2015-02-02 00:48:00.000,2015-02-02 00:48:00.000,Touchdown!,#D3D3D3,Brady throws to Gronkowski in the endzone. New England take the lead with time running down in the half!
2015-02-02 00:58:00.000,2015-02-02 00:58:00.000,Touchdown!,#00295E,Wilson hits Matthews on the near side - hes in the endzone! TD in only 00:31!!!
2015-02-02 01:00:00.000,2015-02-02 01:31:00.000,Half-time,green,Time for Katy Perry...
2015-02-02 01:37:00.000,2015-02-02 01:37:00.000,Field Goal!,#00295E,Hauschka is good from 27 and Seattle have their first lead of the night
2015-02-02 01:48:00.000,2015-02-02 01:48:00.000,Interception!,#00295E,3rd & 9...Brady has time but Wagner steps in front of Gronkowski and takes it away! His second interception of the game!
2015-02-02 01:53:00.000,2015-02-02 01:53:00.000,Touchdown!,#00295E,Wilson makes a play fake to Lynch and Doug Baldwin is wide open - all alone in the endzone!
2015-02-02 02:08:00.000,2015-02-02 02:12:00.000,End of the 3rd quarter,green,End of a big quarter for Seattle
2015-02-02 02:27:00.000,2015-02-02 02:27:00.000,Touchdown!,#D3D3D3,Brady finds Amendola in the back of the endzone - this is a three point game!!
2015-02-02 02:35:00.000,2015-02-02 02:35:00.000,Punt,#D3D3D3,Wilson throws it away and Seattle have to punt
2015-02-02 02:47:00.000,2015-02-02 02:47:00.000,Touchdown!,#D3D3D3,Blount - a run for two yards - and then Edelman is open in the endzone!!!
2015-02-02 02:57:00.000,2015-02-02 02:57:00.000,Big Pass!,#00295E,Wilson throws downfield - incomplete to Kearse - WAIT - NO IT ISNT! Kearse was on his back with the ball in the air and he was able to make the catch! 1st & goal for the Seahawks!
2015-02-02 03:00:00.000,2015-02-02 03:00:00.000,Interception!,#D3D3D3,Wilson on the Pats one-yard line - he throws it and it's intercepted! Malcolm Butler makes the catch that wins the superbowl!
2015-02-02 03:05:00.000,2015-02-02 03:05:00.000,Final Whistle!,green,After a dramatic finish the Patriots are superbowl champions!
